Katherine Dunham,kdunham,dancer,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"London, England",1952-02-7,,Love Letters from I Tatti vol 1 and vol 2,,1952-02-10,Love Letters from I Tatti vol 1 and vol 2,"Writes 2 letters to Berenson from 13 Little Chester St, London S.W. 1",,,,London,,England
England,1952-02,,Das 2014,,1952-03,Das 2014,Touring England,,,,,,England
Ireland,1952-03,,Das 2014,,1952-04,Das 2014,Touring Ireland,,,,,,Ireland
"Belfast, Northern Ireland",1952-04-26,,Love Letters from I Tatti vol 2,,1952-04-26,Love Letters from I Tatti vol 2,"Writes to Berenson from Grand Opera House, Belfast",,,,Belfast,,Northern Ireland
"Bournemouth, England",1952-05,,Das 2014,,1952-06,Das 2014,Touring English provinces,,,,Bournemouth,,England
"Copenhagen, Denmark",1952-07,,Das 2014,,1952-08,Das 2014,Performances in Copenhagen,,,,Copenhagen,,Denmark
"Copenhagen, Denmark",1952-07-14,,Love Letters from I Tatti vol 2,,1952-07-14,Love Letters from I Tatti vol 2,Writes to Berenson,,,,Copenhagen,,Denmark
Europe,1952-08,,Das 2014,,1952-10,Das 2014,Touring Europe,,,,,,"France, Spain, Italy, Switzerland"
"Milan, Italy",1952-10-09,,Loves Letters from I Tatti vol 2,,1952-10-09,Loves Letters from I Tatti vol 2,Writes Berenson from Milan,,,,Milan,,Italy
"Genoa, Italy",1952-10,,"Clark and Johnson 2005, 353",,1952-11,"Clark and Johnson 2005, 353",Upsetting racial incident that inspires Dunham to restage Southland,,,,Genoa,,Italy
"Zurich, Switzerland",1952-11,,Das 2014,,1952-11,Das 2014,Reheases Southland,,,,Zurich,,Switzerland
"Zurich, Switzerland",1952-11-18,,Love Letters from I Tatti vol 2,,1952-11-18,Love Letters from I Tatti vol 2,"Writes to Berenson from Zurich (also other letters and section just dated ""November 1952"")",,,,Zurich,,Switzerland
Italy,1952-12-3,,Das 2014,,1952-12-11,Das 2014,"Visiting Milan, Naples, and Florence; sees Bernard Berenson about Southland",,,,,,Italy
"Lecce, Italy",1952-12-03,,Love Letters from I Tatti vol 2,,1952-12-03,Love Letters from I Tatti vol 2,"Telegram sent to Berenson from Teatro Ariston, Lecce, Italia",,,,Lecce,,Italy
"Naples, Italy",1952-12-09,,Love Letters from I Tatti vol 2,,1952-12-09,Love Letters from I Tatti vol 2,Writes to Berenson from Naples,,,,Naples,,Italy
"Florence, Italy",1952-12-11,,Love Letters from I Tatti vol 2,,1952-12-11,Love Letters from I Tatti vol 2,Telegram sent from Lecce on 12-03 announces to Berenson will be performing at Florence Teatre Pergola on 12-11,,,,Florence,,Italy
